LoanID,DisbursedAmount,TermMonths,InterestRate,AnnualTurnover,DSCR,BureauScore,Sector,CollateralValue,PastDelinquencies,YearsInBusiness,LoanPurpose,State,ProprietorGender,MonthsOnBook,Defaulted
MSME100000,1461000.0,36,13.6,2503000.0,2.17,795,Construction,2187000.0,0,3.5,Bridge a seasonal cash crunch ahead of festival demand,Punjab,Male,42,0
MSME100001,348000.0,24,9.14,1130000.0,1.18,602,Manufacturing,383000.0,0,1.2,Expand textile weaving unit with additional looms,Gujarat,Male,12,0
MSME100002,210000.0,60,13.73,558000.0,1.34,669,Textiles,57000.0,0,7.2,Working capital for raw material procurement,Kerala,Male,37,0
MSME100003,824000.0,36,15.29,4073000.0,1.82,709,Manufacturing,385000.0,0,3.0,Refinance existing high-interest debt and consolidate dues,West Bengal,Male,33,1
MSME100004,386000.0,36,12.24,585000.0,1.56,660,Construction,86000.0,0,4.5,Working capital for raw material procurement,Tamil Nadu,Male,30,1
MSME100005,1147000.0,36,18.97,4948000.0,1.52,774,Retail Trade,1881000.0,1,0.7,Upgrade delivery fleet and cold-storage units,Uttar Pradesh,Male,49,0
MSME100006,566000.0,24,11.35,2538000.0,0.33,611,Manufacturing,614000.0,1,9.9,Expand textile weaving unit with additional looms,Kerala,Male,12,1
MSME100007,315000.0,24,12.61,1246000.0,1.66,626,Retail Trade,315000.0,1,6.4,Working capital for raw material procurement,Karnataka,Female,5,0
MSME100008,638000.0,12,18.51,1397000.0,1.82,759,Retail Trade,892000.0,1,1.4,Refinance existing high-interest debt and consolidate dues,Maharashtra,Female,2,0
MSME100009,237000.0,12,17.58,436000.0,1.55,627,Textiles,347000.0,0,8.9,Emergency funds after delayed receivables from buyers,Gujarat,Male,11,0
MSME100010,785000.0,36,14.96,3282000.0,1.03,719,Manufacturing,305000.0,0,0.5,Refinance existing high-interest debt and consolidate dues,Punjab,Female,47,0
MSME100011,237000.0,36,8.0,701000.0,2.74,680,Construction,229000.0,1,12.5,Open a second retail outlet in the district,Gujarat,Male,3,0
MSME100012,275000.0,36,12.19,1147000.0,1.06,676,Retail Trade,144000.0,0,2.1,Expand textile weaving unit with additional looms,Kerala,Male,33,0
MSME100013,310000.0,48,15.83,1237000.0,1.74,807,Retail Trade,64000.0,1,1.8,Working capital for raw material procurement,Kerala,Male,14,0
MSME100014,369000.0,60,15.14,1370000.0,2.21,564,Agriculture,636000.0,1,1.9,Refinance existing high-interest debt and consolidate dues,Maharashtra,Female,45,0
MSME100015,486000.0,60,11.44,1143000.0,2.75,781,Construction,279000.0,0,3.3,Purchase of new machinery to expand production capacity,Tamil Nadu,Male,43,0
MSME100016,239000.0,48,12.65,768000.0,2.19,724,Manufacturing,392000.0,1,2.4,Purchase of new machinery to expand production capacity,Karnataka,Male,10,0
MSME100017,387000.0,60,14.07,1140000.0,0.65,604,Retail Trade,216000.0,1,0.5,Upgrade delivery fleet and cold-storage units,Gujarat,Male,53,1
MSME100018,158000.0,84,15.41,842000.0,1.87,646,IT Services,200000.0,1,5.9,Refinance existing high-interest debt and consolidate dues,Uttar Pradesh,Female,28,0
MSME100019,3178000.0,84,10.69,8902000.0,0.59,649,IT Services,2132000.0,0,1.0,Working capital for raw material procurement,Tamil Nadu,Female,50,0
MSME100020,1612000.0,12,15.38,7070000.0,1.06,616,Food Processing,2437000.0,0,2.6,Working capital for raw material procurement,Karnataka,Male,32,0
MSME100021,442000.0,36,8.71,1246000.0,0.39,634,Logistics,182000.0,2,2.6,Working capital for raw material procurement,West Bengal,Male,43,1
MSME100022,345000.0,24,16.58,2042000.0,2.03,709,Logistics,487000.0,0,5.0,Expand textile weaving unit with additional looms,Gujarat,Female,25,0
MSME100023,421000.0,24,13.65,690000.0,1.34,541,Food Processing,119000.0,2,5.1,Expand textile weaving unit with additional looms,Uttar Pradesh,Female,55,1
MSME100024,645000.0,36,9.94,2774000.0,1.76,807,Logistics,1135000.0,0,1.7,Emergency funds after delayed receivables from buyers,West Bengal,Male,29,0
MSME100025,183000.0,36,11.58,285000.0,1.55,571,Agriculture,232000.0,2,1.6,Working capital for raw material procurement,West Bengal,Male,25,0
MSME100026,634000.0,84,15.31,1121000.0,1.8,585,Logistics,1099000.0,0,4.4,Purchase of new machinery to expand production capacity,Punjab,Female,6,0
MSME100027,379000.0,48,14.72,1249000.0,0.63,541,Retail Trade,444000.0,1,5.9,Upgrade delivery fleet and cold-storage units,Tamil Nadu,Male,58,1
MSME100028,1091000.0,24,16.36,5872000.0,1.0,688,IT Services,1037000.0,1,2.6,Emergency funds after delayed receivables from buyers,West Bengal,Female,30,0
MSME100029,442000.0,48,16.04,1776000.0,1.39,689,IT Services,761000.0,1,1.3,Open a second retail outlet in the district,Tamil Nadu,Male,55,0
MSME100030,184000.0,48,8.0,417000.0,1.52,616,Retail Trade,56000.0,1,2.5,Refinance existing high-interest debt and consolidate dues,Karnataka,Male,59,0
MSME100031,325000.0,48,13.64,935000.0,1.52,748,Retail Trade,434000.0,0,3.5,Working capital for raw material procurement,Maharashtra,Female,7,0
MSME100032,545000.0,48,12.88,1357000.0,1.22,754,Retail Trade,547000.0,0,6.7,Bridge a seasonal cash crunch ahead of festival demand,Karnataka,Female,17,0
MSME100033,953000.0,36,9.56,3927000.0,1.02,811,Manufacturing,768000.0,1,3.4,Working capital for raw material procurement,Maharashtra,Male,25,0
MSME100034,644000.0,60,15.82,3711000.0,3.5,710,Construction,484000.0,1,4.8,Refinance existing high-interest debt and consolidate dues,Uttar Pradesh,Male,5,0
MSME100035,907000.0,60,19.09,4058000.0,0.65,747,Construction,1055000.0,0,10.4,Emergency funds after delayed receivables from buyers,Punjab,Male,5,0
MSME100036,526000.0,84,12.95,3036000.0,0.53,715,Textiles,212000.0,0,3.2,Emergency funds after delayed receivables from buyers,Maharashtra,Male,9,1
MSME100037,1246000.0,36,12.58,2761000.0,1.84,752,Manufacturing,1440000.0,0,0.8,Refinance existing high-interest debt and consolidate dues,Maharashtra,Male,8,0
MSME100038,269000.0,36,10.88,425000.0,1.29,712,Construction,463000.0,1,2.8,Expand textile weaving unit with additional looms,Karnataka,Female,36,0
MSME100039,393000.0,60,9.24,1467000.0,2.08,703,Logistics,596000.0,0,0.9,Bridge a seasonal cash crunch ahead of festival demand,Karnataka,Female,45,0
MSME100040,264000.0,24,12.24,798000.0,2.56,586,Retail Trade,135000.0,1,12.4,Bridge a seasonal cash crunch ahead of festival demand,Uttar Pradesh,Male,18,0
